id	osmid	x	y
264	42435710	-73.9838267	40.7654145
265	42435714	-73.9828727	40.7667157
266	42435716	-73.9823991	40.7674049
267	42452107	-73.9833355	40.7149335
268	42452117	-73.97996	40.7139762
269	42435736	-73.9580226	40.8008055
270	42435743	-73.9577057	40.8012376
271	42435746	-73.957246	40.8018645
272	42452130	-73.9453927	40.8343132
273	486868138	-73.9865384	40.7181209
274	42435755	-73.956321	40.803115
275	42435761	-73.955861	40.803744
276	42435763	-73.9553661	40.8044249
277	42452147	-73.933776	40.846763
278	42435766	-73.954874	40.805096
279	42435775	-73.953957	40.806353
280	42435785	-73.95304	40.80761
281	42435794	-73.952585	40.808238
282	4142105811	-74.0084406	40.7240219
283	4142105812	-74.0093172	40.7246766
284	4142105813	-74.0067677	40.7228854
285	42435802	-73.9521304	40.8088651
286	42435803	-73.9516742	40.8094996
287	246580444	-74.0062107	40.7499808
288	42435805	-73.9511777	40.8101762
289	4142105822	-74.0079472	40.7236541
290	42435810	-73.950216	40.811478
291	4288677093	-73.9665703	40.7615623
292	42435814	-73.949757	40.812103
293	42435825	-73.948419	40.813938
294	246580466	-74.0065691	40.7495415
295	1272562931	-74.0060393	40.7119161
296	4562863353	-73.9494518	40.7700832
297	42435837	-73.947034	40.81583
298	42435844	-73.946546	40.816502
299	42435850	-73.946055	40.817175
300	42435852	-73.945598	40.8178
301	42435856	-73.945141	40.818424
302	42435858	-73.944687	40.819047
303	42435860	-73.9437782	40.8202938
304	42435861	-73.943322	40.820917
305	42435863	-73.942865	40.821542
306	42435865	-73.942411	40.822164
307	60917021	-73.9452375	40.8478838
308	42435869	-73.941426	40.823507
309	42435873	-73.940971	40.824132
310	42435876	-73.940515	40.824757
311	42435880	-73.93986	40.825648
312	42435881	-73.9396033	40.8260002
313	61261100	-73.9760921	40.7968698
314	42435885	-73.939149	40.826626
315	61261104	-73.976735	40.796025
316	42435891	-73.938692	40.827251
317	42452276	-73.9680587	40.8056964
318	42435894	-73.938237	40.827877
319	42435898	-73.937782	40.8285
320	42452290	-73.9585073	40.8006143
321	42435910	-73.9971156	40.7128037
322	42435916	-73.994459	40.713021
323	42435920	-73.9936203	40.7130913
324	279151954	-74.0137888	40.7023934
325	42435923	-73.9901249	40.713382
326	42435922	-73.9923728	40.7131973
327	42435925	-73.9885984	40.7135074
328	42452310	-74.0140487	40.7090879
329	42435928	-73.9870808	40.713635
330	6417761624	-74.0145633	40.7104259
331	42452314	-74.0148642	40.7094458
332	42435931	-73.9850507	40.7137994
333	42435940	-73.9508143	40.8208228
334	42435943	-73.9529081	40.8217009
335	42452330	-73.939855	40.8036999
336	595314028	-73.9605452	40.8180852
337	42435953	-73.9362311	40.8146596
338	595314036	-73.9645365	40.8089155
339	42435957	-73.9393897	40.815997
340	595314040	-73.965409	40.8086624
341	427804029	-73.9987433	40.7593183
342	42435967	-73.9423994	40.8172707
343	42452353	-73.9785655	40.7566543
344	42452365	-73.9931565	40.7628026
345	42435981	-73.946522	40.819006
346	42435988	-73.9394765	40.8126443
347	42435990	-73.93981	40.812787
348	42435993	-73.9400767	40.8128979
