,id,x,y,osmid,geometry,highway
2396,2396,-73.9319893,40.7954407,6216836461,POINT (-73.9319893 40.7954407),residential
2397,2397,-73.973464,40.76366,42427762,POINT (-73.97346400000001 40.76366),residential
2398,2398,-73.974111,40.7639334,42427764,POINT (-73.97411099999999 40.7639334),residential
2399,2399,-73.927319,40.855598,42427768,POINT (-73.927319 40.855598),tertiary
2400,2400,-73.928716,40.856182,42427769,POINT (-73.92871599999999 40.856182),secondary
2401,2401,-73.9297266,40.8566083,42427773,POINT (-73.9297266 40.8566083),tertiary
2402,2402,-73.9323852,40.846795,60925316,POINT (-73.9323852 40.846795),motorway_link
2403,2403,-73.932043,40.857841,42427780,POINT (-73.93204299999999 40.857841),primary
2404,2404,-73.932983,40.858113,42427782,POINT (-73.93298299999999 40.858113),residential
2405,2405,-73.986846,40.745301,42427786,POINT (-73.986846 40.745301),residential
2406,2406,-73.9886122,40.7460455,42427787,POINT (-73.98861220000001 40.7460455),tertiary
2407,2407,-74.0098577,40.7019257,4145735059,POINT (-74.0098577 40.7019257),motorway
2408,2408,-73.990067,40.746659,42427797,POINT (-73.990067 40.746659),secondary
2409,2409,-73.9832475,40.7871601,61269400,POINT (-73.9832475 40.7871601),motorway
2410,2410,-73.9929106,40.7478553,42427805,POINT (-73.9929106 40.7478553),secondary
2411,2411,-73.9957492,40.7490521,42427812,POINT (-73.99574920000001 40.7490521),residential
2412,2412,-73.998626,40.7502567,42427817,POINT (-73.998626 40.7502567),residential
2413,2413,-74.0014254,40.7514485,42427821,POINT (-74.0014254 40.7514485),unclassified
2414,2414,-74.0042703,40.7526457,42427824,POINT (-74.0042703 40.7526457),secondary
2415,2415,-74.0070337,40.75379,42427828,POINT (-74.00703369999999 40.75379),trunk
2416,2416,-73.994075,40.7130528,496707000,POINT (-73.994075 40.7130528),residential
2417,2417,-73.9371368,40.8134264,42427834,POINT (-73.9371368 40.8134264),secondary
2418,2418,-73.9937507,40.7123696,496707003,POINT (-73.99375070000001 40.7123696),secondary
2419,2419,-74.0070607,40.7037691,42444223,POINT (-74.0070607 40.7037691),primary
2420,2420,-73.9300037,40.8621121,42427844,POINT (-73.9300037 40.8621121),primary
2421,2421,-73.9296676,40.8622107,42427846,POINT (-73.9296676 40.8622107),secondary
2422,2422,-74.0062889,40.7042568,42444230,POINT (-74.0062889 40.7042568),primary
2423,2423,-73.9286059,40.8626215,42427849,POINT (-73.92860589999999 40.8626215),residential
2424,2424,-73.927766,40.862926,42427852,POINT (-73.92776600000001 40.862926),residential
2425,2425,-73.9332151,40.8387843,60925389,POINT (-73.9332151 40.8387843),motorway
2426,2426,-73.926923,40.863238,42427855,POINT (-73.926923 40.863238),secondary
2427,2427,-74.0047522,40.7052372,42444242,POINT (-74.0047522 40.7052372),primary
2428,2428,-73.926011,40.863575,42427859,POINT (-73.926011 40.863575),primary
2429,2429,-73.923767,40.864403,42427863,POINT (-73.923767 40.864403),tertiary
2430,2430,-73.921884,40.8651,42427867,POINT (-73.92188400000001 40.8651),tertiary
2431,2431,-73.919996,40.865797,42427870,POINT (-73.919996 40.865797),secondary
2432,2432,-73.918596,40.866315,42427873,POINT (-73.91859599999999 40.866315),secondary
2433,2433,-73.917205,40.866813,42427877,POINT (-73.917205 40.866813),secondary
2434,2434,-73.9424535,40.8272063,42427881,POINT (-73.9424535 40.8272063),residential
2435,2435,-73.941997,40.827823,42427883,POINT (-73.941997 40.827823),tertiary
2436,2436,-73.91859,40.8610156,1203709420,POINT (-73.91858999999999 40.8610156),residential
2437,2437,-74.0098,40.733204,42444267,POINT (-74.0098 40.733204),unclassified
2438,2438,-74.0034584,40.7080617,42444271,POINT (-74.0034584 40.7080617),primary
2439,2439,-73.94154,40.828447,42427888,POINT (-73.94154 40.828447),residential
2440,2440,-73.941078,40.829083,42427891,POINT (-73.941078 40.829083),tertiary
2441,2441,-73.9402243,40.830292,42427894,POINT (-73.9402243 40.830292),tertiary
2442,2442,-73.9717336,40.7820374,42427915,POINT (-73.97173359999999 40.7820374),secondary
2443,2443,-74.001257,40.713496,42444305,POINT (-74.001257 40.713496),unclassified
2444,2444,-73.9096352,40.8745523,42427926,POINT (-73.9096352 40.8745523),tertiary
2445,2445,-73.9110993,40.8746713,42427934,POINT (-73.9110993 40.8746713),residential
2446,2446,-73.9122655,40.8750497,42427936,POINT (-73.9122655 40.8750497),residential
2447,2447,-73.9128004,40.8756706,42427939,POINT (-73.91280039999999 40.8756706),residential
2448,2448,-73.9731747,40.7403316,4950763054,POINT (-73.9731747 40.7403316),residential
2449,2449,-73.973086,40.7404436,4950763055,POINT (-73.973086 40.7404436),residential
2450,2450,-74.0094775,40.7045537,42427956,POINT (-74.0094775 40.7045537),residential
2451,2451,-73.958809,40.759913,42427965,POINT (-73.958809 40.759913),secondary
