id	osmid	x	y
259	269681617	24.9018903	60.2036806
260	31622098	24.8977021	60.2242988
261	247595987	24.9536342	60.19367
262	31622100	24.8976133	60.2245552
263	31622101	24.8974023	60.2244043
264	38568913	24.8971939	60.2564048
265	289539031	24.9552307	60.1952001
266	35652567	24.9667735	60.2203267
267	566952916	24.9979532	60.2574428
268	1026622422	25.0807825	60.1675005
269	3435103186	25.028855	60.2786986
270	286032860	24.9469778	60.247373
271	587072480	25.0065772	60.2582392
272	26280930	25.1577184	60.2054545
273	298845157	24.9970516	60.2281816
274	998573033	25.1081614	60.2177706
275	26280937	25.1587771	60.2042444
276	26280941	25.1577092	60.2052752
277	26280942	25.1574853	60.2053394
278	26280943	25.1525368	60.2047217
279	26280944	25.152412	60.2047935
280	26280945	25.1521796	60.2047606
281	29787121	24.9924443	60.2735838
282	35652597	24.9639264	60.2200883
283	91292665	25.0150086	60.269357
284	26280958	25.1513929	60.2067937
285	4336649215	24.8959361	60.1940169
286	26280959	25.1511662	60.2067654
287	29918214	25.0593583	60.1876024
288	132103	24.8689812	60.1870835
289	1489601543	25.0157079	60.2523549
290	132105	24.8740578	60.1879296
291	29918215	25.063808	60.1915878
292	26280969	25.1530131	60.2031687
293	26280972	25.1532251	60.2031932
294	35652621	24.9656724	60.2216511
295	26280970	25.1536815	60.2022093
296	132111	24.8777338	60.1916931
297	26280982	25.1498413	60.2043901
298	257098780	24.8877875	60.2358332
299	257098782	24.8886896	60.235998
300	857605152	25.0581817	60.2473813
301	257098788	24.8898152	60.2350209
302	257098791	24.8896201	60.235408
303	257098798	24.8878305	60.238221
304	257098801	24.8882783	60.2370982
305	257098805	24.8883395	60.2370107
306	29787194	24.9915166	60.274673
307	279970876	25.0233205	60.2834496
308	857605181	25.0571846	60.2479916
309	29787199	24.9861691	60.2740064
310	4906910784	24.9094698	60.1850496
311	4906910785	24.9104667	60.1857845
312	4906910786	24.9109248	60.1854083
313	4906910787	24.9110396	60.1849449
314	146474057	24.9110094	60.1631991
315	264963158	24.9454848	60.2217904
316	3362063459	24.8927056	60.2451734
317	1980761201	24.898452	60.2430577
318	1671038066	24.8767383	60.2370674
319	2272527476	24.8483733	60.25111
320	277415029	24.9049549	60.2079793
321	3362063478	24.8927777	60.2452424
322	2146993272	24.9039761	60.1579435
323	1980761209	24.8979129	60.2433233
324	3362063482	24.8927587	60.2452643
325	292914300	25.0434434	60.2449746
326	292914303	25.0454554	60.2454783
327	292914307	25.046768	60.2456685
328	292914308	25.0445321	60.2452893
329	150996102	25.0299726	60.1917779
330	490177675	25.0892854	60.215088
331	560891019	24.9932794	60.2728753
332	490177680	25.0892427	60.214903
333	560891026	24.9932779	60.2727917
334	149030035	24.9247721	60.1648792
335	149030036	24.9248055	60.1646696
336	149030037	24.9250185	60.164747
337	560891028	24.9934313	60.272718
338	313754776	24.9296369	60.1924005
339	490177690	25.0891667	60.2150132
340	560891036	24.993734	60.2728749
341	490177693	25.0894612	60.2150926
